,artists
2000,'Helmut Qualtinger'
2001,'Georg Kreisler']
2002,['Kurt Werner'
2003,'Helmut Qualtinger']
2004,['Gerhard Bronner'
2005,'Karl Hackenberg'
2006,['Louise Martini'
2007,'Carl Merz'
2008,'Johann Sklenka'
2009,'Rosemarie Thon'
2010,['Carl Merz'
2011,'Louise Martini'
2012,'Peter Wehle']
2013,'Gerhard Bronner']
2014,'Nikolaus Haenel'
2015,'Christa Irrall'
2016,'Louise Martini']
2017,'Kurt Sobotka'
2018,['Kurt Sobotka'
2019,'Eva Pilz'
2020,'Al Edwards']
2021,['Johann Sklenka'
2022,'Kurt Sobotka']
2023,['Medea Connection']
2024,['Curtis & Loretta']
2025,['Die Kreuzritter'
2026,'Carlos Perón']
2027,'Carlos Perón'
2028,'Spacefrog'
2029,'Timelord']
2030,"""Plug'n'play""]"
2031,['Leroy Anderson'
2032,'Arthur Fiedler'
2033,'Boston Pops Orchestra']
2034,'Ronald Romm'
2035,'Frederic Mills'
2036,'Graeme Page'
2037,'Eugene Watts'
2038,'Charles Daellenbach'
2039,'John Grady']
2040,"""Vienna Boys' Choir""]"
2041,['Mykola Dmytrovych Leontovych'
2042,'Arthur Fiedler']
2043,['James Lord Pierpont'
2044,'Morton Gould']
2045,'Emily Mitchell']
2046,'James Galway'
2047,'Barry Griffiths'
2048,'John Poole'
2049,'Barry Rose']
2050,'Mario Lanza'
2051,'The Jeff Alexander Choir'
2052,'Henri Rene & His Orchestra']
2053,'Robert Shaw Chorale'
2054,['Watts
2055,Mason'
2056,['Katherine Davis'
2057,'Henry Onorati'
2058,'Harry Simeone'
2059,'David Rudolf'
2060,'Sergio Franchi'
2061,'Marty Gold']
2062,['Franz Xaver Gruber'
2063,['Chris Dedrick'
2064,'Leontyne Price'
2065,'Michael Korn'
2066,'Benita Valente']
2067,'Charles Gounod'
2068,'Plácido Domingo'
2069,'Helmuth Froschauer']
2070,'Osian Ellis'
2071,'Uwe Christian Harrer']
2072,['Jay Livingston'
2073,'Ray Evans'
2074,['William Chatterton Dix'
2075,['Irving Berlin'
2076,'Constantine Callinicos']
2077,'Robert Shaw'
2078,'Robert Conant'
2079,'Robert Arnold']
2080,['Ana Belén'
2081,'Miguel Ríos']
2082,['Ana Belén']
2083,['Miguel Ríos']
2084,['Orquesta Ciudad De Granada']
2085,'Hille Perl']
2086,['Lit']
2087,['Sound of Mine']
2088,['Jennifer Leigh Warren'
2089,'Andrea Frierson-Toney'
2090,'Mary Bond Davis'
2091,'Audra McDonald'
2092,'Marie Christine Ensemble']
2093,['Audra McDonald'
2094,'Darius deHaas'
2095,'Vivian Reed'
2096,['Vivian Reed'
2097,'Audra McDonald']
2098,'Anthony Crivello'
2099,'Kimberly JaJuan']
2100,['Anthony Crivello'
2101,'Janet Metz'
2102,'Joy Lynn Matthews'
2103,'Michael Babin'
2104,['Kimberly JaJuan'
2105,['André Garner'
2106,'Lovette George'
2107,'Rosena M. Hill'
2108,'Jim Weaver']
2109,['Andrea Frierson-Toney'
2110,'Jennifer Leigh Warren'
2111,['Darius deHaas'
2112,'Jim Weaver'
2113,'André Garner'
2114,'Keith Lee Grant'
2115,['Mary Testa'
2116,'Kim Huber']
2117,['Michael McCormick'
2118,'Mark Lotito'
2119,'Mary Testa'
2120,'Peter Samuel'
2121,'Anthony Crivello']
2122,'Mary Bond Davis']
2123,['Mark Lotito'
2124,'Michael McCormick'
2125,['Shawn Elliott'
2126,'Kimberly JaJuan'
2127,['Anthony Crivello']
2128,['Blowfly']
2129,['Richard Davies']
2130,['27']
2131,['Geoff Farina']
2132,['Ida']
2133,['Jodi Buonano']
2134,['Television Set']
2135,['Mary Timony']
2136,['Chris Colbourn']
2137,['Valerie Forgione']
2138,['Seana Carmody']
2139,['Karate']
2140,"[""Cordelia's Dad""]"
2141,['None']
2142,['Karen FitzGerald']
2143,['Amy Grokowsky']
2144,['Jeanette Alexander']
2145,['Tight Bros From Way Back When']
2146,['Michael Allen Harrison']
2147,['Matthias Pintscher'
2148,'Berlin Radio Symphony Orchestra']
2149,'Urban Malmberg'
2150,'Sylvain Cambreling'
2151,'Klangforum Wien']
2152,'Markus Pawlik']
2153,['Leifur Þórarinsson'
2154,'Iceland Symphony Orchestra']
2155,['Arndís Björk Ásgeirsdóttir'
2156,'Leifur Þórarinsson']
2157,['Brian Crain']
2158,['Laura Siersema']
2159,['KAOS']
2160,['Basement Jaxx'
2161,'Blue James'
2162,'Erick Morillo'
2163,'Harry Romero']
2164,'Steve Gurley']
2165,['Cindy Alexander']
2166,['Levi Chen']
2167,['glisten']
2168,['Joey McIntyre']
2169,['Joey McIntyre'
2170,'Tony Moran for Big Management
2171,Ltd.']
2172,['Suns of Arqa'
2173,'Johar Ali Khan'
2174,'Michael Wadada'
2175,'Raghunath Seth'
2176,'Shahbaz Hussain'
2177,'Youth'
2178,'Zion Train']
2179,['Ekolu']
2180,['Joaquín Sabina']
2181,['Pablo Milanés']
2182,['John Holm']
2183,['Cherrelle']
2184,['Puzzlebox']
2185,['William Walton'
2186,'English Northern Philharmonia'
2187,'Paul Daniel']
2188,'Peter Donohoe'
2189,['John Tavener'
2190,'Takuo Yuasa']
2191,'Eileen Hulse'
2192,['Jascha Heifetz'
2193,['Doc Scott']
2194,['Alex Reece']
2195,['Digital']
2196,['Deep Blue']
2197,['Roni Size'
2198,'DJ Die']
2199,['Jonny L']
2200,['DJ Kalm']
2201,['Codename John']
2202,['Ram Trilogy']
2203,['SHY FX']
2204,['Fresh'
2205,'Vegus']
2206,['Grooverider']
2207,['Souljah']
2208,['Goldie']
2209,['Dillinja']
2210,['Neil Trix']
2211,['Flex'
2212,'Randall']
2213,['Optical']
2214,['J Majik']
2215,['Source Direct']
2216,['Matrix']
2217,['The Tiny Bell Trio']
2218,['Angel City Chorale']
2219,['Nicholas Maw'
2220,'Joshua Bell'
2221,'London Philharmonic Orchestra'
2222,'Sir Roger Norrington']
2223,['Mollycuddle']
2224,['Perry Como'
2225,'Russ Case & His Orchestra & Chorus']
2226,'Lloyd Shaffer and His Orchestra']
2227,'The Fontane Sisters'
2228,'Mitchell Ayres & His Orchestra']
2229,'The Satisfiers'
2230,'Russ Case']
2231,'Mitchell Ayres']
2232,'Sigmund Romberg']
2233,"""Hugo Winterhalter's""]"
2234,'Henri René & His Orchestra and Chorus']
2235,'Eddie Fisher'
2236,'Betty Hutton'
2237,"""Mitchell Ayers'"""
2238,'The Ray Charles Singers']
2239,'Mitchell Ayres & His Orchestra'
2240,'The Ramblers']
2241,'Mitchell Ayres'
2242,['Ensemble Al-Tanbûrah']
2243,['Sabri Moudallal']
2244,['A Tribe Called Quest']
2245,['A Tribe Called Quest'
2246,'Faith Evans']
2247,['Violator'
2248,'Q-Tip']
2249,['The Peter Pupping Quartet']
2250,['Caustic Resin']
2251,['Hound Dog Taylor']
2252,['Jacques Dutronc']
2253,['Bedlam Bards']
2254,['Coyote Oldman']
2255,['Fiddlesticks']
2256,['Steve Freund'
2257,'Boz Scaggs'
2258,'David Maxwell'
2259,'Kim Wilsonn']
2260,['Stef Burns']
2261,['John Doan']
2262,['Manuel Rosenthal'
2263,'Monte-Carlo Philharmonic Orchestra']
2264,'Manuel Rosenthal'
2265,['Hope Diamond']
2266,['Kowtow Popof']
2267,['John Chibadura & Tembo Brothers']
2268,['Four Brothers']
2269,['Muddyface']
2270,['Zimbabwe Cha Cha Cha Kings']
2271,['Various Artists'
2272,'Dopiro Band']
2273,['John Chibadura & The Temo Brothers']
2274,['Knowledge K Kunenyati']
2275,['Linda Allen']
2276,['Agoraphobic Nosebleed']
2277,['Converge']
2278,['Todd Hallawell']
2279,['Takashi Yoshimatsu'
2280,'Nobuya Sugawa'
2281,'Sachio Fujioka']
2282,['Ethnic Heritage Ensemble'
2283,"""Kahil El'Zabar""]"
2284,['Sara Gurowitsch'
2285,'Dieter Klöcker'
2286,['Jacob Weinberg'
2287,['Samuel Gardner'
2288,['Fabian Gorodezky'
2289,['Alexander Krein'
2290,['Sholom Secunda'
2291,['Boris Levenson'
2292,['Abraham Wolf Binder'
2293,['Francesco Onofrio Manfredini'
2294,'Jaroslav Krcek']
2295,['Metropolitan']
2296,['James Keelaghan']
2297,['Fiorello'
2298,'Matt Damon'
2299,'Jude Law']
2300,['Matt Damon']
2301,['Harry Rabinowitz']
2302,"[""Sinéad O'Connor""]"
2303,['Charlie Parker']
2304,['Miles Davis']
2305,['Guy Barker'
2306,'Pete King'
2307,'Iain Dixon'
2308,'Robin Aspland'
2309,'Arnie Somogyi'
2310,'Clark Tracey']
2311,['Marino Marini']
2312,['The Guy Barker International Quintet']
2313,['Dizzy Gillespie']
2314,['The London Metropolitan Ensemble']
2315,['John Martyn'
2316,'Chris Botti'
2317,'The Guy Barker International Quintet']
2318,['Tabache']
2319,['Naseer Shamma']
2320,['Matthew Shipp With William Parker']
2321,['Johann Nepomuk Hummel'
2322,'Claudio Gonella'
2323,"""Orchestra Internazionale D'Italia"""
2324,'Diego Dini Ciacci']
2325,'Diego Dini Ciacci'
2326,"""Orchestra Internazionale D'Italia""]"
2327,'Mario Finotti'
2328,'Fabrizio Meloni'
2329,'Andrea Pecolo'
2330,'Luca Ranieri'
2331,['Nasa']
2332,['Gloria Trevi']
2333,['Death By Stereo']
2334,['Jimmy Greene'
2335,'Darren Barrett'
2336,'Steve Davis'
2337,'Aaron Goldberg'
2338,'Eric McPherson'
2339,'Kahlil Bell']
2340,['Eric Vloeimans'
2341,'Joey Baron'
2342,'John Taylor'
2343,'Marc Johnson']
2344,'Marc Johnson'
2345,'Joey Baron']
2346,['Dave Moore']
2347,['Valarie Pettiford']
2348,['Company'
2349,'Fosse Ensemble']
2350,['Valarie Pettiford'
2351,['Brad Anderson'
2352,'Eugene Fleming'
2353,['Fosse Ensemble']
2354,['Jane Lanier'
2355,'Michael Paternostro'
2356,'Alex Sanchez']
2357,['Shannon Lewis'
2358,'Brad Musgrove'
2359,'Christopher R. Kirby']
2360,['Fosse Orchestra'
2361,'Orchestra'
2362,'Patrick S. Brady']
2363,['Eugene Fleming'
2364,'Kim Morgan Greene'
2365,'Dana Moore']
2366,'Jane Lanier'
2367,'Jane Lanier']
2368,['Scott Wise'
2369,['Rachelle Rak'
2370,['Andy Blankenbuehler'
2371,'Sergio Trujillo']
2372,'Fosse Orchestra'
2373,'Jeremy Nicholas'
2374,'Stephen Gunzenhauser']
2375,'Andrew Mogrelia']
2376,'Philharmonic Symphony Orchestra'
2377,'Richard Hayman']
2378,['Crystal Lewis'
2379,'Kirk Franklin']
2380,['Jaci Velasquez']
2381,['Kenny Lattimore']
2382,['Ashley Robles']
2383,['Amy Grant']
2384,['Randy Travis']
2385,['Collin Raye']
2386,['Wayne Watson']
2387,"[""Keb' Mo'""]"
2388,['Charlotte Church']
2389,['Roma Downey'
2390,'Phil Coulter']
2391,['Ray Barretto'
2392,'New World Spirit']
2393,['Dougie MacLean']
2394,['Battlefield Band']
2395,['Dick Gaughan']
2396,['Pierre Bensusan']
2397,['Relativity']
2398,['William Jackson']
2399,['Altan']
2400,['Alasdair Fraser'
2401,'Paul Machlis']
2402,['Sileas']
2403,"[""Maura O'Connell""]"
2404,['Davy Spillane']
2405,['Junior Mance'
2406,'Martin Rivera']
2407,['Anat Fort']
2408,['The Mitchells']
2409,['The Academy']
2410,['Gardeweg']
2411,['Elie Siegmeister'
2412,'Kenneth Boulton']
2413,['Johann Caspar Ferdinand Fischer'
2414,'Luc Beauséjour']
2415,['Neil Leyton']
2416,['Lisa Hilton']
2417,['Debbie Deane']
2418,'Matthias Kirschnereit'
2419,'Frank Beermann']
2420,['Jodie Manross']
2421,['Jody Stecher']
2422,['Mike Viola'
2423,'Candy Butchers']
2424,['Adam Holzman'
2425,'Manuel Ponce']
2426,'Stephanie Martin'
2427,['Uman']
2428,['Where Fear And Weapons Meet']
2429,['Pop Unknown']
2430,['Buzz Poets']
2431,['Georg Kreisler'
2432,'Susi Nicoletti'
2433,'Topsy Küppers'
2434,'Hans Unterkirchner'
2435,'C. W. Fernbach'
2436,'Peter W. Staub'
2437,'Herbert Prikopa'
2438,'Sigfrit Steiner'
2439,'Kurt Sowinetz'
2440,'Wolfgang Hebenstreith'
2441,'Eva Sandor'
2442,'Benno Smytt'
2443,'Michael Janisch'
2444,'Peter Göller']
2445,'Peter Göller'
2446,'Kurt Sowinetz']
2447,'Hans Unterkirchner']
2448,'Herbert Prikopa']
2449,'Wolfgang Hebenstreith']
2450,'Michael Janisch']
2451,['Walter Clevenger & The Dairy Kings']
2452,['Sans Pression']
2453,['Sans Pression'
2454,'Yvon Krevé']
2455,'Sampaloo']
2456,'Comatoze'
2457,'01Étranjj'
2458,"""L'Xtrémist""]"
2459,'Misery']
2460,['Johnny Socko']
2461,['Los Bravos']
2462,['Justin McRoberts']
2463,['David Burgess']
2464,'Ulf Wallin'
2465,'Roland Pöntinen']
2466,['David Allan Coe']
2467,['Pastor Troy']
2468,['Bitch and Animal']
2469,['Every Day Life']
2470,['Double Six']
2471,['Cheater Slicks']
2472,['Mel Rhyne']
2473,['Peter Martin Weiss']
2474,['Lonnie Brooks'
2475,'Long John Hunter'
2476,'Phillip Walker']
2477,['Mojo Buford']
2478,['Cherokee'
2479,'Erika Sulpacio'
2480,'Tim Owens'
2481,'Myron McKinley'
2482,'Andrew Gooche'
2483,'Taku Hirano']
2484,'Taku Hirano'
2485,'Jeff Danna'
2486,'Mike Elizondo']
2487,'Brian McKnight'
2488,'Myron McKinley']
2489,['Cherokee']
2490,'Cedric Anderson'
2491,'Angelo Earl'
2492,'Suzie Katayama'
2493,'Murray Adler'
2494,'Marlo De Leon'
2495,'Bruce Dukov'
2496,'Armen Garabedian'
2497,'Karen Jones'
2498,'Ezra Kliger'
2499,'Katia Popov'
2500,'Barbara Porter'
2501,'Eve Sprecher'
2502,'Ed Stein'
2503,'John Wittenberg'
2504,'Ken Yerke'
2505,'Endre Granat'
2506,'Anatoly Rosinski'
2507,'Denyse Buffom'
2508,'Matt Funes'
2509,'Janet Lakatos'
2510,'Cynthia Morrow'
2511,'Larry Corbett'
2512,'Steve Richards'
2513,'Dan Smith']
2514,"""Caroline Ducout Do'rcines"""
2515,'G-Mack'
2516,'Wendy Williams'
2517,'Josina Elder'
2518,'Sharlotte Gibson'
2519,'Mike Elizondo'
2520,'Ronald Blake']
2521,'Billy Preston'
2522,"'Sample ""E""'"
2523,'Ronald Blake'
2524,'Patrick Shevelin']
2525,'Bill Meyers'
2526,'Harvey Mason'
2527,'Reggie Hamilton'
2528,'Anthony Nance'
2529,'Joel Derouin'
2530,'Clayton Haslop'
2531,'Peter Kent'
2532,'Dan Smith'
2533,'Walt Fowler']
2534,['Robert Gass & On Wings Of Song']
2535,['The Jellybricks']
2536,['Imajin'
2537,'Keith Murray']
2538,['Imajin']
2539,['Darius Milhaud'
2540,'Radio-Sinfonieorchester Basel'
2541,'Alun Francis']
2542,'Chor des Theater Basel'
2543,['Alkymia']
2544,['Knoxville Girls']
2545,['Nash The Slash']
2546,['Beau Jocque'
2547,'The Zydeco Hi-Rollers']
2548,['Little Champions']
2549,['Ivan Lins']
2550,"[""Keali'i Reichel""]"
2551,['Wood']
2552,['Derek Bell']
2553,['Original Cast']
2554,['Ned Evett']
2555,['Vehicle Flips']
2556,['Etta James']
2557,['George Gee Big Band']
2558,['Ensemble Polaris']
2559,'Claron McFadden'
2560,'Elisabeth Scholl'
2561,'Nicholas Hariades'
2562,'Peer Abilgaard'
2563,'Junge Kantorei'
2564,'Barockorchester Frankfurt'
2565,'Joachim Carlos Martini']
2566,['Luis de Narváez'
2567,'Kevin R. Gallagher']
2568,['John Dowland'
2569,['Francesco da Milano'
2570,['Francisco Guerau'
2571,['Santiago De Murcia'
2572,['Kandia Kouyate']
2573,['BNB All-Stars']
2574,['Sergio Vargas']
2575,['Mayfair Laundry']
2576,['Grim Reaper']
2577,['J.J. Malone']
2578,['Solex']
2579,['Paul Dukas'
2580,['Modest Mussorgsky'
2581,['Bedřich Smetana'
2582,['Reinhold Moritzewitsch Glière'
2583,['Manuel de Falla'
2584,['Dmitry Kabalevsky'
2585,['Laughing Stock']
2586,['Rocker-T']
2587,'Cristiano Rossi'
2588,'Accademia I Filarmonici'
2589,'Alberto Martini']
2590,['Jimmy LaFave']
2591,['New Stories']
2592,['Jimmy Dean']
2593,['Dennis Gruenling & Jump Time']
2594,['Kinito Mendez']
2595,['Shakatak']
2596,['Dark Funeral']
2597,['Monstrosity']
2598,['Aurora Borealis']
2599,['Sadistic Intent']
2600,['From The Depths']
2601,['Diabolic']
2602,['Draconis']
2603,['Evil Incarnate']
2604,['Thy Darkest Empire']
2605,['Imprecation']
2606,['Somnus']
2607,['Darlyn y Los Herederos']
2608,['Marcel Dupré'
2609,'Mary Preston']
2610,['Penumbra']
2611,['Chaotica']
2612,['Urchin']
2613,['Carl Verheyen Band']
2614,['Pymp Tyte']
2615,['Arthur Williams']
2616,['Richard Maxfield']
2617,['Richard Maxfield'
2618,'Nicolas Roussakis'
2619,'Fahrad Machkat'
2620,'Terry Jennings'
2621,'Robert B. Lock'
2622,'Edward Fields']
2623,'David Tudor']
2624,['Harold Budd']
2625,['Harold Budd'
2626,'Charles Orena']
2627,['Dr. Onionskin']
2628,['Simplicity Christmas']
2629,['Cecil Brooks III'
2630,'The CB3 Band']
2631,['Jim West']
2632,['The Freeze']
2633,['The 65 Film Show']
2634,['Rick Danko']
2635,['Rick Danko'
2636,'Robbie Roberetson']
2637,"[""The Hi-Lo's""]"
2638,['12 Guage']
2639,['Tom Harrell']
2640,['Tom Harrell (Soloist)']
2641,['Walter Piston'
2642,'James Buswell'
2643,['Uncle Bonsai']
2644,['John Primer & The Teardrops']
2645,['Cherish The Ladies']
2646,'Cherish The Ladies']
2647,['Joanie Madden'
2648,'Siobhan Egan'
2649,"""Paddy O'Brien"""
2650,'Traditional'
2651,['Brian Keane'
2652,'Joanie Madden'
2653,['Dan Fogelberg'
2654,['Donna Long'
2655,['Ken Battista']
2656,['Andre Nickatina']
2657,['Dany Aubé']
2658,['William Clarke']
2659,['Kevin Welch']
2660,['Hertzainak']
2661,['Brother JT3']
2662,['The Isaacs']
2663,['Bill Douglas'
2664,'Ars Nova Singers']
2665,['Karo']
2666,['Jennifer Lopez']
2667,['Jennifer Lopez'
2668,'Marc Anthony']
2669,['The Huge']
2670,['Liquid Tension Experiment'
2671,'John Petrucci'
2672,'Mike Portnoy'
2673,'Tony Levin'
2674,'Jordan Rudess']
2675,['Lonestar']
2676,['Jessica Owen']
2677,['Groundation'
2678,'Harrison Stafford']
2679,['Davis Redford Triad']
2680,['Furious']
2681,['Furious'
2682,'Liz']
2683,'Mac'
2684,'AK']
2685,'Greg Bell']
2686,'Half']
2687,'Lyrical C']
2688,'Joy']
2689,['ATB']
2690,['Splender']
2691,'Elizabeth Gaver']
2692,['Benjamin Bagby']
2693,'Sequentia']
2694,'Benjamin Bagby']
2695,'Susanne Norin'
2696,'Barbara Thornton'
2697,'Benjamin Bagby'
2698,'Barbara Thornton']
2699,['Wesley Willis']
2700,['Circus Of The Sun']
2701,['Resident Clark']
2702,['Christina Fasano'
2703,'Cee Cee James']
2704,['Deborah Liv Johnson']
2705,['Peter Sprague'
2706,'Dennis Caplinger']
2707,['Barnaby Finch']
2708,['2 LIVE CREW']
2709,['Tom Hunter'
2710,'Bev Bos'
2711,'Michael Leeman']
2712,['Phil Rosenthal']
2713,['U.P. Wilson']
2714,['Wilhelm Furtwängler'
2715,'Staatskapelle Weimar'
2716,'George Alexander Albrecht']
2717,['War Rocket Ajax']
2718,['Mission On Mars']
2719,['S.S. Bountyhunter']
2720,['The MultiTooters']
2721,['Farquar Muckenfuss']
2722,['Warp Factor 9']
2723,['Moffett']
2724,['The Super Sonics']
2725,['The Scienticians']
2726,['The Flying Karpopholous Family Trio']
2727,['Scott Joplin'
2728,'Giovanni de Chiaro']
2729,"[""Raff 'n' Freddy""]"
2730,['Skott Freedman']
2731,'Scott Hayden'
2732,['Jeffrey Lerner'
2733,'Kenneth Goldsmith'
2734,'Albert Muenzer'
2735,'Lawrence Wheeler'
2736,'Terry King']
2737,['Nancy Weems'
2738,'John Sensen'
2739,['Kenneth Goldsmith'
2740,'Eric Halen'
2741,'Kevin Dvorak']
2742,['Russ Freeman']
2743,['Susanna Hoffs'
2744,'Brad Wood'
2745,"""Dillon O'Brian"""
2746,'Greg Leisz']
2747,['Phil Keaggy']
2748,['Chris Proctor']
2749,['C. Michael Spriggs']
2750,['T.J. Baden'
2751,'Chris Pelonis']
2752,['Bill Cooley'
2753,'Kathy Mattea']
2754,['Jimmy Capps'
2755,'Doyle Dykes'
2756,'Duane Eddy'
2757,'Paul Franklin']
2758,['Steve Poltz'
2759,'Doug Pettibone'
2760,'David Piltch'
2761,'Danny Frankel']
2762,['Suzy Bogguss'
2763,'Verlon Thompson']
2764,['Randy Dorman'
2765,'Rick Harper']
2766,['Robben Ford'
2767,'Jimmy Earl']
2768,['Fred Mollin']
2769,['Matt Odmark'
2770,'Steve Mason'
2771,'Charlie Lowell']
2772,['Dave Matthews']
2773,['Paul Rodgers']
2774,['Billy Sheehan']
2775,['Victor Krummenacher']
2776,['Ustad Jafar Hussain Khan'
2777,'Rafiq Ahmed'
2778,'Wajahat Hussain'
2779,'Naeem Jafar']
2780,['Ustad Jafar Hussain Khan (leadvocals
2781,harmonium)
2782,Rafiq Ahmed (second leadvocals)
2783,Wajahat Hussain (tabla
2784,accompanying vocals)
2785,Naeem Jafar (accompanying vocals)']
2786,['Igor Stravinsky'
2787,['Thorazine']
2788,'Czech Philharmonic Orchestra'
2789,'Leopold Stokowski']
2790,['Tunnels'
2791,'Marc Wagnon'
2792,'Van Manakas'
2793,'Frank Katz'
2794,'Percy Jones']
2795,['Georges Auric'
2796,'Rumon Gamba']
2797,'Anthea Kempston'
2798,'Mary Carewe'
2799,['Charles-Valentin Alkan'
2800,'Raymond Lewenthal']
2801,['Rick Springfield']
2802,['Rick Springfield'
2803,'John Luongo']
2804,'Randy Crawford']
2805,['Roy Montgomery']
2806,['Thorne']
2807,['Sense Field']
2808,'Alexander String Quartet']
2809,['Gideon Freudmann']
2810,['Baird Hersey']
2811,['Ashley Stove']
2812,['Beatnik Filmstars']
2813,['Ganger']
2814,"[""Guv'ner""]"
2815,['The Karl Hendricks Trio']
2816,['The Ladybug Transistor']
2817,['Lambchop']
2818,['The Mad Scene']
2819,['Neutral Milk Hotel']
2820,['Pipe']
2821,['Portastatic']
2822,['Seaweed']
2823,['Shark Quest']
2824,['Spent']
2825,['The Third Eye Foundation']
2826,['FS'
2827,'MING']
2828,'MING'
2829,'Blestenation']
2830,'Mack & Youngblood']
2831,'Werdplay']
2832,"""M'stro Manny""]"
2833,'TC Izlam']
2834,'DK']
2835,['Nick Brignola'
2836,'Dave Pike'
2837,"""Chuck D'Aloia"""
2838,'John Patitucci'
2839,'Billy Hart']
2840,['Cookie']
2841,['David Nevue']
2842,['Inspectah Deck']
2843,['Inspectah Deck'
2844,'La The Darkman'
2845,'Baretta 9'
2846,'Killa Sin'
2847,'Streetlife']
2848,'Shadii']
2849,'U-God'
2850,'U-God']
2851,'La The Darkman']
2852,['Isley
2853,Jasper
2854,Isley']
2855,['SaGoh 24/7']
2856,['Farside']
2857,['Lone Star Ridaz']
2858,['Lone Star Ridaz'
2859,'Lifestyl']
2860,['Steven Halpern']
2861,['Los Originales Pasteles Verdes Del Peru']
2862,['The American Analog Set']
2863,['Carl Stamitz'
2864,'Kalman Berkes'
2865,'Nicolaus Esterhazy Sinfonia']
2866,['Luxury']
2867,['Del The Funky Homosapien']
2868,['Johann Stamitz'
2869,'Northern Chamber Orchestra'
2870,'Nicholas Ward']
2871,['The Tarantulas']
2872,['Coalesce']
2873,['Ingrid Jensen']
2874,['Giorgia']
2875,['Charles Nelson Reilly'
2876,'Eileen Brennan']
2877,['Brent Carver'
2878,'Carolee Carmello']
2879,['Michael Siberry'
2880,'Rebecca Luker']
2881,['Jim Walton'
2882,'Karen Ziemba']
2883,['Andrea Frierson'
2884,'Once on This Island Ensemble']
2885,['Colm Wilkinson'
2886,'Kim Scharnberg']
2887,['Clifford David']
2888,['Daniel McDonald'
2889,['Norm Lewis'
2890,'Malcolm Gets']
2891,['Larry Keith'
2892,'Alma Cuervo']
2893,['Brooks Ashmanskas'
2894,'Andrea Burns']
2895,'Kelli Rabke']
2896,['Troy Sneed']
2897,['Arthur Sullivan'
2898,'Carl Davis'
2899,'Martin Savage']
2900,'Carl Davis']
2901,'Dorothy Atkinson'
2902,'Shirley Henderson']
2903,'Shirley Henderson'
2904,'Monte-Carlo Philharmonic Orchestra'
2905,'Herve Niquet']
2906,'Jean-Marc Jordan'
2907,['Karen Ashbrook']
2908,['Al Petteway']
2909,['Maggie Sansone']
2910,['Sue Richards'
2911,'Bonnie Rideout']
2912,['Karen Ashbook']
2913,['Robin Bullock']
2914,['Bonnie Rideout']
2915,['Sue Richards']
2916,['Ceoltoiri']
2917,['The Brain Surgeons']
2918,['Soma Sonic']
2919,['Joe Keithley']
2920,['MZ. 412']
2921,['Libertine']
2922,['Paul Haslinger']
2923,['MFSB']
2924,['MFSB'
2925,'Leon Huff']
2926,'The Three Degrees']
2927,'Zach Zachary']
2928,['Leadfoot'
2929,'Karl Agell of COC'
2930,'Phil Swisher of COC']
2931,['Papa M']
2932,['Billy Jam']
2933,['DJ T-Rock']
2934,['Wildstyle Bob Nimble']
2935,['7th Plague']
2936,['Freedom Of Knowledge']
2937,['Greedy Boy & DJ Grazzhoppa']
2938,['Pepe Deluxe']
2939,['Hydroponic Sound System']
2940,['DJ Uppercut']
2941,['DJ Wrecka']
2942,['Lost Island']
2943,['DJ T-Rock & DJ Faust']
2944,['The Radiation Kings']
2945,['Threat Level 5']
2946,"[""Caedmon's Call""]"
2947,['Attacker']
2948,['The Dylan Group']
2949,['Morgion']
2950,['Henryk Wieniawski'
2951,['Jose Padilla'
2952,['Pablo de Sarasate'
2953,['Christof Lauer']
2954,'Robert Stankovsky']
2955,['Bob Ostertag
2956,Otomo Yoshihide & Justin Vivian Bond']
2957,['Cenobita']
2958,'Marcello Viotti']
2959,'Abbie Furmansky'
2960,'Ramón Vargas'
2961,'Anthony Michaels-Moore'
2962,'Vesselina Kasarova'
2963,['US Air Force Band and Singing Sergeants']
2964,['Zombie Nation']
2965,['Marshall Artz']
2966,['Antonio Soler'
2967,'Gilbert Rowland']
2968,['Irving Project'
2969,'Spero']
2970,'Space Traveller']
2971,'Mazi']
2972,'Rick Garcia']
2973,'Johnny Fiasco']
2974,['David Dondero'
2975,'Andy LeMaster']
2976,['Will Haven']
2977,'Benjamin Frith']
2978,['The Machine In The Garden']
2979,['Vibronics']
2980,['Aural Elixir']
2981,'Sophie Yates']
2982,'György Pauk'
2983,'Antoni Wit']
2984,['Sorry About Dresden']
2985,['Alquimia La Sonora Del XXI']
2986,['Soundtrack/Cast Album']
2987,['Basic Food Group']
2988,['Mark Deutsch']
2989,'Robert Barto']
2990,['Les Ambassadeurs']
2991,['Eve 6']
2992,['The Get Up Kids']
2993,['Weezer']
2994,['Far']
2995,['Braid']
2996,['Teen Heroes']
2997,['Local H']
2998,['Reel Big Fish']
2999,['The Siren Six!']
3000,['Nada Surf']
3001,['The Promise Ring']
3002,['Samiam']
3003,['Weston']
3004,['Hezekiah Walker & The Love Fellowship Crusade Choir']
3005,['Hezekiah Walker & The Love Fellowship Crusade Choir'
3006,'B.B. Jay'
3007,'Dave Hollister']
3008,['Muzion'
3009,'DJ Majestic']
3010,'DJ Nykeldon']
3011,['Muzion']
3012,'Corneille']
3013,['J-Kyll']
3014,['Dramatik']
3015,'Blaznez'
3016,'Narra']
3017,'J. Brass'
